league;season;matchweek;homeTeam;awayTeam;homeGoals;awayGoals;date;hour;referee;homeLineup;awayLineup;homePossession;awayPossession;homePassingAccuracy;awayPassingAccuracy;homeShotsonTarget;awayShotsonTarget;homeSaves;awaySaves;homeFouls;awayFouls;homeCorners;awayCorners;homeCrosses;awayCrosses;homeTouches;awayTouches;homeTackles;awayTackles;homeInterceptions;awayInterceptions;homeAerialsWon;awayAerialsWon;homeClearances;awayClearances;homeOffsides;awayOffsides;homeGoalKicks;awayGoalKicks;homeThrowIns;awayThrowIns;homeLongBalls;awayLongBalls
SerieA;23_24;8;Internazionale;Bologna;2;2;2023-10-07;15:00;Marco Guida (Referee);Inter (3-5-2);Bologna (4-2-3-1);63%;37%;84%;76%;36%;29%;50%;60%;11;9;7;7;31;13;760;521;13;15;12;17;20;14;10;31;2;1;4;8;28;14;51;55
SerieA;23_24;8;Juventus;Torino;2;0;2023-10-07;18:00;Davide Massa (Referee);Juventus (3-5-2);Torino (3-4-3);50%;50%;80%;81%;29%;10%;100%;60%;10;8;7;3;20;20;576;577;11;16;4;5;21;14;21;12;2;0;11;5;13;24;60;51
SerieA;23_24;8;Genoa;Milan;0;1;2023-10-07;20:45;Marco Piccinini (Referee);Genoa (4-5-1);Milan (4-3-3);41%;59%;80%;85%;14%;25%;66%;100%;10;13;3;2;15;14;506;670;7;11;8;6;12;14;19;14;0;3;12;6;14;14;66;36
SerieA;23_24;8;Monza;Salernitana;3;0;2023-10-08;12:30;Luca Massimi (Referee);Monza (3-4-3);Salernitana (3-4-3);57%;43%;85%;79%;40%;63%;100%;66%;8;16;7;7;9;13;638;491;17;11;9;9;9;10;15;11;0;2;2;9;16;17;48;34
SerieA;23_24;8;Lazio;Atalanta;3;2;2023-10-08;15:00;Daniele Orsato (Referee);Lazio (4-3-3);Atalanta (3-4-1-2);46%;54%;82%;84%;33%;33%;50%;50%;7;10;4;6;10;19;601;672;17;11;10;8;7;16;16;5;3;2;9;4;21;18;54;43
SerieA;23_24;8;Frosinone;Hellas Verona;2;1;2023-10-08;15:00;Maria Sole Ferrieri Caputi (Referee);Frosinone (4-3-3);Hellas Verona (3-4-1-2);52%;48%;78%;73%;18%;25%;75%;0%;8;12;2;4;7;24;564;514;14;11;1;10;15;17;29;7;0;1;13;10;19;26;70;88
SerieA;23_24;8;Cagliari;Roma;1;4;2023-10-08;18:00;Simone Sozza (Referee);Cagliari (3-5-2);Roma (3-5-2);57%;43%;81%;76%;7%;45%;20%;100%;15;13;4;3;32;6;597;484;7;12;5;1;12;12;9;22;1;1;5;10;19;16;83;61
SerieA;23_24;8;Napoli;Fiorentina;1;3;2023-10-08;20:45;Federico La Penna (Referee);Napoli (4-3-3);Fiorentina (4-2-3-1);54%;46%;86%;83%;20%;25%;0%;100%;4;14;6;4;15;8;698;605;13;23;7;11;13;12;9;18;2;3;4;8;18;22;50;79
SerieA;23_24;9;Hellas Verona;Napoli;1;3;2023-10-21;15:00;Rosario Abisso (Referee);Hellas Verona (3-4-3);Napoli (4-3-3);40%;60%;77%;86%;60%;45%;70%;88%;12;9;5;8;26;13;476;661;13;13;7;3;21;5;16;23;0;2;9;9;22;11;78;75
SerieA;23_24;9;Torino;Internazionale;0;3;2023-10-21;18:00;Matteo Marchetti (Referee);Torino (3-4-3);Inter (3-5-2);47%;53%;80%;83%;43%;23%;33%;100%;13;8;2;4;24;11;513;589;14;13;5;6;8;19;10;20;1;0;9;10;19;17;60;52
SerieA;23_24;9;Sassuolo;Lazio;0;2;2023-10-21;20:45;Marco Di Bello (Referee);Sassuolo (4-2-3-1);Lazio (4-3-3);51%;49%;83%;84%;22%;33%;66%;100%;6;10;5;7;13;19;653;655;14;13;5;6;9;6;19;22;0;4;11;7;21;19;64;60
SerieA;23_24;9;Roma;Monza;1;0;2023-10-22;12:30;Giovanni Ayroldi (Referee);Roma (3-5-2);Monza (3-4-3);52%;48%;83%;85%;19%;36%;100%;75%;11;11;8;5;28;14;584;579;10;16;5;6;12;11;15;27;3;2;5;9;18;10;56;58
